"url","title","artist","style","date"
"http://uploads3.wikiart.org/images/wassily-kandinsky/black-spot-1912.jpg","Black spot","Wassily Kandinsky","abstract-art",1912
"http://uploads7.wikiart.org/images/wassily-kandinsky/improvisation-26-rowing-1912.jpg","Improvisation 26 (Rowing)","Wassily Kandinsky","abstract-art",1912
"http://uploads0.wikiart.org/images/wassily-kandinsky/picture-with-a-black-arch-1912.jpg","Picture with a black arch","Wassily Kandinsky","abstract-art",1912
"http://uploads1.wikiart.org/images/wassily-kandinsky/the-last-judgment-1912.jpg","The last judgment","Wassily Kandinsky","abstract-art",1912
"http://uploads3.wikiart.org/images/giacomo-balla/iridescent-interpenetration-no-7-1912.jpg","Iridescent Interpenetration No.7","Giacomo Balla","abstract-art",1912
"http://uploads6.wikiart.org/images/wassily-kandinsky/improvisation-28-second-version-1912.jpg","Improvisation 28 (second version)","Wassily Kandinsky","abstract-art",1912
"http://uploads7.wikiart.org/images/jacques-villon/untitled-1912.jpg","Untitled","Jacques Villon","abstract-art",1912
"http://uploads4.wikiart.org/images/gosta-adrian-nilsson/untitled-1912.jpg","Untitled","Gosta Adrian-Nilsson","abstract-art",1912
"http://uploads8.wikiart.org/images/arthur-dove/based-on-leaf-forms-and-spaces-1912.jpg","Based on Leaf Forms and Spaces","Arthur Dove","abstract-art",1912
"http://uploads1.wikiart.org/images/arthur-dove/sails-1912.jpg","Sails","Arthur Dove","abstract-art",1912
"http://uploads0.wikiart.org/images/jacoba-van-heemskerck/bos-1912.jpg","Bos","Jacoba van Heemskerck","abstract-art",1912
"http://uploads0.wikiart.org/images/giacomo-balla/iridescent-interpenetration-no-4-study-of-light-1912.jpg","Iridescent Interpenetration No. 4 - Study of light","Giacomo Balla","abstract-art",1912
"http://uploads8.wikiart.org/images/wassily-kandinsky/black-strokes-i-1913.jpg","Black strokes I","Wassily Kandinsky","abstract-art",1913
"http://uploads7.wikiart.org/images/wassily-kandinsky/not_detected_189363.jpg","293","Wassily Kandinsky","abstract-art",1913
"http://uploads3.wikiart.org/images/wassily-kandinsky/flood-improvisation-1913.jpg","Improvisation. Deluge.","Wassily Kandinsky","abstract-art",1913
"http://uploads4.wikiart.org/images/wassily-kandinsky/improvisation-dreamy-1913.jpg","Improvisation (Dreamy)","Wassily Kandinsky","abstract-art",1913
"http://uploads8.wikiart.org/images/wassily-kandinsky/improvisation-30-cannons-1913.jpg","Improvisation 30 (Cannons)","Wassily Kandinsky","abstract-art",1913
"http://uploads2.wikiart.org/images/wassily-kandinsky/improvisation-31-sea-battle-1913.jpg","Improvisation 31 (Sea Battle)","Wassily Kandinsky","abstract-art",1913
"http://uploads1.wikiart.org/images/wassily-kandinsky/painting-with-green-center-1913.jpg","Painting with green center","Wassily Kandinsky","abstract-art",1913
"http://uploads2.wikiart.org/images/wassily-kandinsky/picture-with-a-white-border-1913.jpg","Picture With A White Border","Wassily Kandinsky","abstract-art",1913
"http://uploads8.wikiart.org/images/wassily-kandinsky/small-pleasures-1913.jpg","Small Pleasures","Wassily Kandinsky","abstract-art",1913
"http://uploads0.wikiart.org/images/wassily-kandinsky/study-for-composition-vii-1913.jpg","Study for 'Composition VII'","Wassily Kandinsky","abstract-art",1913
"http://uploads5.wikiart.org/images/francis-picabia/new-york-as-seen-from-across-the-body.jpg","New York as Seen from Across the Body","Francis Picabia","abstract-art",1913
"http://uploads0.wikiart.org/images/giacomo-balla/iridescent-compenetration.jpg","Iridescent Compenetration","Giacomo Balla","abstract-art",1913
"http://uploads7.wikiart.org/images/giacomo-balla/iridescent-interpenetration-1913.jpg","Iridescent Interpenetration","Giacomo Balla","abstract-art",1913
"http://uploads3.wikiart.org/images/wassily-kandinsky/landscape-with-rain-1913.jpg","Landscape with Rain","Wassily Kandinsky","abstract-art",1913
"http://uploads0.wikiart.org/images/francis-picabia/ballerina-on-an-ocean-liner-1913.jpg","Ballerina on an Ocean Liner","Francis Picabia","abstract-art",1913
"http://uploads8.wikiart.org/images/francis-picabia/edtaonisl-ecclesiastic.jpg","Edtaonisl (Ecclesiastic)","Francis Picabia","abstract-art",1913
"http://uploads7.wikiart.org/images/francis-picabia/udnie-young-american-girl-1913.jpg","Udnie, Young American Girl","Francis Picabia","abstract-art",1913
